Name,value,year,lastValue,rank
Residential ,5599.25,1949,,
Residential ,5988.553,1950,5599.25,
Residential ,6380.193,1951,5988.553,
Residential ,6560.243,1952,6380.193,
Residential ,6558.748,1953,6560.243,
Residential ,6846.058,1954,6558.748,
Residential ,7277.988,1955,6846.058,
Residential ,7662.725,1956,7277.988,
Residential ,7712,1957,7662.725,
Residential ,8200.674,1958,7712,
Residential ,8411.866,1959,8200.674,
Residential ,9039.418,1960,8411.866,
Residential ,9286.024,1961,9039.418,
Residential ,9782.42,1962,9286.024,
Residential ,9988.479,1963,9782.42,
Residential ,10240.574,1964,9988.479,
Residential ,10639.387,1965,10240.574,
Residential ,11168.63,1966,10639.387,
Residential ,11639.275,1967,11168.63,
Residential ,12336.29,1968,11639.275,
Residential ,13169.156,1969,12336.29,
Residential ,13765.758,1970,13169.156,
Residential ,14246.2,1971,13765.758,
Residential ,14857.045,1972,14246.2,
Residential ,14897.351,1973,14857.045,
Residential ,14654.336,1974,14897.351,
Residential ,14813.4,1975,14654.336,
Residential ,15410.259,1976,14813.4,
Residential ,15661.713,1977,15410.259,
Residential ,16132.287,1978,15661.713,
Residential ,15812.724,1979,16132.287,
Residential ,15753.38,1980,15812.724,
Residential ,15261.544,1981,15753.38,
Residential ,15530.937,1982,15261.544,
Residential ,15425.021,1983,15530.937,
Residential ,15959.563,1984,15425.021,
Residential ,16041.334,1985,15959.563,
Residential ,15975.109,1986,16041.334,
Residential ,16263.214,1987,15975.109,
Residential ,17132.613,1988,16263.214,
Residential ,17789.714,1989,17132.613,
Residential ,16940.06,1990,17789.714,
Residential ,17419.327,1991,16940.06,
Residential ,17354.77,1992,17419.327,
Residential ,18211.592,1993,17354.77,
Residential ,18110.261,1994,18211.592,
Residential ,18516.656,1995,18110.261,
Residential ,19501.836,1996,18516.656,
Residential ,18962.255,1997,19501.836,
Residential ,18951.919,1998,18962.255,
Residential ,19553.511,1999,18951.919,
Residential ,20421.041,2000,19553.511,
Residential ,20037.592,2001,20421.041,
Residential ,20785.794,2002,20037.592,
Residential ,21119.32,2003,20785.794,
Residential ,21081.388,2004,21119.32,
Residential ,21612.646,2005,21081.388,
Residential ,20670.321,2006,21612.646,
Residential ,21518.992,2007,20670.321,
Residential ,21667.627,2008,21518.992,
Residential ,21081.368,2009,21667.627,
Residential ,21894.159,2010,21081.368,
Residential ,21381.247,2011,21894.159,
Residential ,19869.589,2012,21381.247,
Residential ,21051.185,2013,19869.589,
Residential ,21444.465,2014,21051.185,
Residential ,20615.936,2015,21444.465,
Residential ,20179.77,2016,20615.936,
Residential ,19897.127,2017,20179.77,
Commercial,3668.816,1949,,
Commercial,3893.298,1950,3668.816,
Commercial,3873.226,1951,3893.298,
Commercial,3873.385,1952,3873.226,
Commercial,3770.982,1953,3873.385,
Commercial,3732.921,1954,3770.982,
Commercial,3895.14,1955,3732.921,
Commercial,4022.859,1956,3895.14,
Commercial,3960.787,1957,4022.859,
Commercial,4119.156,1958,3960.787,
Commercial,4372.186,1959,4119.156,
Commercial,4609.4,1960,4372.186,
Commercial,4727.663,1961,4609.4,
Commercial,5036.386,1962,4727.663,
Commercial,5250.646,1963,5036.386,
Commercial,5465.993,1964,5250.646,
Commercial,5845.423,1965,5465.993,
Commercial,6324.047,1966,5845.423,
Commercial,6899.205,1967,6324.047,
Commercial,7329.032,1968,6899.205,
Commercial,7833.219,1969,7329.032,
Commercial,8346.295,1970,7833.219,
Commercial,8720.954,1971,8346.295,
Commercial,9183.416,1972,8720.954,
Commercial,9542.957,1973,9183.416,
Commercial,9393.324,1974,9542.957,
Commercial,9492.492,1975,9393.324,
Commercial,10063.334,1976,9492.492,
Commercial,10207.599,1977,10063.334,
Commercial,10511.88,1978,10207.599,
Commercial,10648.024,1979,10511.88,
Commercial,10578.258,1980,10648.024,
Commercial,10615.891,1981,10578.258,
Commercial,10860.337,1982,10615.891,
Commercial,10938.376,1983,10860.337,
Commercial,11443.89,1984,10938.376,
Commercial,11451.231,1985,11443.89,
Commercial,11606.106,1986,11451.231,
Commercial,11946.009,1987,11606.106,
Commercial,12578.091,1988,11946.009,
Commercial,13196.288,1989,12578.091,
Commercial,13317.336,1990,13196.288,
Commercial,13499.968,1991,13317.336,
Commercial,13441.084,1992,13499.968,
Commercial,13816.864,1993,13441.084,
Commercial,14097.25,1994,13816.864,
Commercial,14689.872,1995,14097.25,
Commercial,15171.864,1996,14689.872,
Commercial,15681.126,1997,15171.864,
Commercial,15967.423,1998,15681.126,
Commercial,16376.21,1999,15967.423,
Commercial,17175.261,2000,16376.21,
Commercial,17136.684,2001,17175.261,
Commercial,17345.646,2002,17136.684,
Commercial,17346.035,2003,17345.646,
Commercial,17655.396,2004,17346.035,
Commercial,17853.346,2005,17655.396,
Commercial,17707.092,2006,17853.346,
Commercial,18252.717,2007,17707.092,
Commercial,18401.921,2008,18252.717,
Commercial,17887.132,2009,18401.921,
Commercial,18057.978,2010,17887.132,
Commercial,17980.314,2011,18057.978,
Commercial,17419.622,2012,17980.314,
Commercial,17929.445,2013,17419.622,
Commercial,18264.465,2014,17929.445,
Commercial,18156.728,2015,18264.465,
Commercial,18030.223,2016,18156.728,
Commercial,17910.632,2017,18030.223,
Industrial,14723.587,1949,,
Industrial,16241.423,1950,14723.587,
Industrial,17678.532,1951,16241.423,
Industrial,17311.362,1952,17678.532,
Industrial,18211.754,1953,17311.362,
Industrial,17157.695,1954,18211.754,
Industrial,19484.608,1955,17157.695,
Industrial,20209.479,1956,19484.608,
Industrial,20218.258,1957,20209.479,
Industrial,19321.087,1958,20218.258,
Industrial,20333.201,1959,19321.087,
Industrial,20841.687,1960,20333.201,
Industrial,20955.128,1961,20841.687,
Industrial,21788.192,1962,20955.128,
Industrial,22751.19,1963,21788.192,
Industrial,24111.354,1964,22751.19,
Industrial,25097.614,1965,24111.354,
Industrial,26421.623,1966,25097.614,
Industrial,26614.298,1967,26421.623,
Industrial,27883.171,1968,26614.298,
Industrial,29105.4,1969,27883.171,
Industrial,29627.901,1970,29105.4,
Industrial,29585.943,1971,29627.901,
Industrial,30930.189,1972,29585.943,
Industrial,32623.268,1973,30930.189,
Industrial,31787.187,1974,32623.268,
Industrial,29413.018,1975,31787.187,
Industrial,31392.821,1976,29413.018,
Industrial,32263.009,1977,31392.821,
Industrial,32687.556,1978,32263.009,
Industrial,33924.74,1979,32687.556,
Industrial,32039.419,1980,33924.74,
Industrial,30711.561,1981,32039.419,
Industrial,27614.494,1982,30711.561,
Industrial,27427.759,1983,27614.494,
Industrial,29569.887,1984,27427.759,
Industrial,28815.809,1985,29569.887,
Industrial,28273.554,1986,28815.809,
Industrial,29378.886,1987,28273.554,
Industrial,30677.381,1988,29378.886,
Industrial,31327.765,1989,30677.381,
Industrial,31801.6,1990,31327.765,
Industrial,31399.34,1991,31801.6,
Industrial,32570.884,1992,31399.34,
Industrial,32618.541,1993,32570.884,
Industrial,33519.687,1994,32618.541,
Industrial,33969.223,1995,33519.687,
Industrial,34902.974,1996,33969.223,
Industrial,35198.985,1997,34902.974,
Industrial,34841.105,1998,35198.985,
Industrial,34762.518,1999,34841.105,
